,Name,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_subj,Imp_avg,Flow_subj,Flow_avg,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ_Av,CTW_Av,MIR_entropy,MIR_entropy_avg,MIR_rms,MIR_rms_avg,MIR_novelty,MIR_novelty_avg,Participant
37,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A2,9.1,5.0,4.571428571428571,4.0,5.8,0.30681691824374685,0.22460774251001125,IMP2,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.7667591517408584,0.7731761453669075,0.025794475629714243,0.02166808589382759,0.1686474231295382,0.5198353022834425,P7
38,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A2,9.11,5.730340132023036,4.571428571428571,4.0,5.8,0.3760251069635573,0.3350419599705384,IMP2,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.7940884638828435,0.7731761453669075,0.03315298132758974,0.02166808589382759,0.2209050455973067,0.5198353022834425,P7
39,P7_D5_G1_M5_R2_T1,MI,DI,Z3,A1,9.12,7.0,4.571428571428571,5.510733379572089,5.8,0.400242225451551,0.373432184550496,IMP2,1.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.8177156574792279,0.7731761453669075,0.03589790506620884,0.02166808589382759,0.1365411970833219,0.5198353022834425,P7
40,P7_D5_G1_M5_R2_T1,MI,DI,Z3,A1,9.13,7.0,4.571428571428571,7.0,5.8,0.5141119932937742,0.4499406840675778,IMP2,4.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,0.5225144355057914,0.8205247013773406,0.7731761453669075,0.03855340381384802,0.02166808589382759,0.43540459531279013,0.5198353022834425,P7
41,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.1,4.0,4.086956521739131,3.0,4.5,0.00617328747024666,0.010014841194771487,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.672801743450708,0.728084541290902,0.0019971045463515126,0.007299636822649236,0.28364733690786487,0.38898903954009634,P4
42,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.2,4.0,4.086956521739131,3.0,4.5,0.0006453183779761999,0.0059828921423309995,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.6401272760071691,0.728084541290902,0.0024254727254403702,0.007299636822649236,0.3114448257346683,0.38898903954009634,P4
43,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.3,4.0,4.086956521739131,3.0,4.5,0.0658228962567649,0.05942099695906055,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.6661630815387243,0.728084541290902,0.005692497167613978,0.007299636822649236,0.8254772495978479,0.38898903954009634,P4
44,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.4,4.0,4.086956521739131,3.153719700930349,4.5,0.14516359568942636,0.09378183433103907,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7020742855367089,0.728084541290902,0.0059035315572074,0.007299636822649236,0.47243840037691737,0.38898903954009634,P4
45,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.5,4.0,4.086956521739131,3.9948411962574517,4.5,0.10137909077706549,0.08045415486134634,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7209642684833232,0.728084541290902,0.005271919508553336,0.007299636822649236,0.5880563268259508,0.38898903954009634,P4
46,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A2,4.6,4.0,4.086956521739131,4.0,4.5,0.08165445901250226,0.0681734815165616,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7148550118744436,0.728084541290902,0.0053682357275088586,0.007299636822649236,0.6309859521261614,0.38898903954009634,P4
47,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.7.1,4.0,4.086956521739131,4.0,4.5,0.04566468077379411,0.03769222049668553,IMP1,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7119018053279663,0.728084541290902,0.003358981813058943,0.007299636822649236,0.38204683036354087,0.38898903954009634,P4
48,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.7.2,4.0,4.086956521739131,4.0,4.5,0.309135382026061,0.22402607244061792,IMP1,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.743524877889488,0.728084541290902,0.009028944216777525,0.007299636822649236,0.34560513894556694,0.38898903954009634,P4
49,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.8,4.0,4.086956521739131,3.726898652371701,4.5,0.08148128819787688,0.070448554975948,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7119527855684448,0.728084541290902,0.005026118585921051,0.007299636822649236,0.3557104842368368,0.38898903954009634,P4
50,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.9.1,4.0,4.086956521739131,3.0,4.5,0.011788396631211786,0.015811929233303414,IMP1,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7293864046098607,0.728084541290902,0.0031668423781434653,0.007299636822649236,0.5102651164205095,0.38898903954009634,P4
51,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.9.2,4.0,4.086956521739131,3.0,4.5,0.08737207632973684,0.06999983806527318,IMP1,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7671423883429797,0.728084541290902,0.005587322258627538,0.007299636822649236,0.9525835702707046,0.38898903954009634,P4
52,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A2,4.10,4.0,4.086956521739131,3.0625000185436675,4.5,0.27269200599889587,0.24713946772552078,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7759660580852441,0.728084541290902,0.009352438856657364,0.007299636822649236,0.2606514081210231,0.38898903954009634,P4
53,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.11.1,4.0,4.086956521739131,5.3409091313680035,4.5,0.1389763832910087,0.13062647844089445,IMP1,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.775387810516945,0.728084541290902,0.008145403311558903,0.007299636822649236,0.23725665318191289,0.38898903954009634,P4
54,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.11.2,4.521687433177404,4.086956521739131,6.0,4.5,0.20631031556156273,0.14408798576113924,IMP1,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7684299719709248,0.728084541290902,0.006590032832809211,0.007299636822649236,0.21077196497285292,0.38898903954009634,P4
55,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.12,5.0,4.086956521739131,6.0,4.5,0.32348350000953985,0.2660250256143624,IMP2,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7697919284776378,0.728084541290902,0.010419658433555723,0.007299636822649236,0.33676292539848035,0.38898903954009634,P4
56,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.13,5.64586345567661,4.086956521739131,6.0,4.5,0.35519386511862905,0.3053576104951267,IMP2,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7758501206605877,0.728084541290902,0.011545105478452073,0.007299636822649236,0.389213950561187,0.38898903954009634,P4
57,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.14,6.0,4.086956521739131,6.0,4.5,0.22401874605395408,0.17626520696252226,IMP2,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,0.4675723330252747,0.7213830706103975,0.728084541290902,0.009936820860911305,0.007299636822649236,0.36377714801379196,0.38898903954009634,P4
