,Name,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_Av,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ_Av,CTW_Av,Participant
52,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A2,4.10,5.0,0.27269200599889587,0.24713946772552078,IMP2,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
53,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.11.1,5.270476570541689,0.1389763832910087,0.13062647844089445,IMP2,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
54,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.11.2,6.0,0.20631031556156273,0.14408798576113924,IMP2,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
55,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.12,6.0,0.32348350000953985,0.2660250256143624,IMP2,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
56,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.13,5.541847400726321,0.35519386511862905,0.3053576104951267,IMP2,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
57,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.14,4.990114350968822,0.22401874605395408,0.17626520696252226,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
58,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A2,4.15,4.0,0.0881490815900898,0.06857314840056346,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
59,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.16,4.574151655238833,0.31718614008987983,0.2852751753320575,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
60,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A1,4.17,5.0,0.20731172018038324,0.1944439946257589,IMP2,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
61,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.18.1,5.0,0.203337656624582,0.18522036923966514,IMP2,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
62,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.18.2,4.8280575714226925,0.44272998705174016,0.33392016769385136,IMP1,2.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
63,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.19,3.503862565765065,0.36524938454773015,0.31452918691111764,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
64,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.20,3.0,0.23843550689066442,0.21923026207255894,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
65,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.21,3.0,0.41851204373535184,0.4071086153213441,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
66,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.22,3.0,0.1522267876667226,0.14610852389692652,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
67,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.23,3.0,0.043857401029783784,0.03955356471874407,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
68,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.24,2.280950465439776,0.13251622952372188,0.11267780201390128,IMP0,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
69,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.25,3.0,0.13561108865475582,0.11826183468007694,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
70,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.26,2.3575671199935346,0.10256932807903275,0.08974338213496562,IMP0,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
71,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.27,2.0,0.1933751676055407,0.1714328710014087,IMP0,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
72,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.28,3.10745751017867,0.26476865867807253,0.2345293719793769,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
73,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A2,4.29,4.0,0.24678430388271821,0.18958289476011492,IMP1,6.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
74,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.30,4.0,0.253978110145604,0.1892089640012192,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
75,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.31,4.0,0.2556463912278632,0.2187079460918792,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
76,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.32,4.0,0.17152510101235394,0.15147595105810865,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
77,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.33,4.0,0.25992371657025637,0.25726436212023485,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
78,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.34,4.0,0.3051344884527921,0.24366687997857345,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
79,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.35,4.0,0.04238632053132293,0.036794786675335873,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
80,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.36,4.0,0.017285522656282113,0.014658085748710989,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
81,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.37,4.858571639936568,0.02281771008281884,0.022222170814372395,IMP1,8.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
82,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.38,5.0,0.1427415376196147,0.11651682447189704,IMP2,8.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
83,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.39,3.441073844686649,0.49099596168276366,0.3754264819312729,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
84,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.40,3.0,0.2350978252197428,0.2374120381934091,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
85,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.41,3.1080098735618638,0.4606002044870561,0.4490160552819448,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
86,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.42,3.826247752669791,0.49742214659717077,0.46816131013740414,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
87,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.43,4.0,0.47163249448666567,0.42750483853383625,IMP1,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
88,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.44,1.4137931034482683,0.3348695159167759,0.2841873767607246,IMP0,4.0,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,5.0,3.5,4.25,D1,M6,R1,0.4418005973899906,[0.46757233],P4
89,P5_D1_G3_M1_R2_T1,MI,DI,Z1,A2,6.1,4.183843816066256,0.0006453183779762,0.005982892142331,IMP1,2.0,7,6,4,6,7,7,7,6,6,6,4,1,6,6,7.0,7.0,4.5,6.0,5.25,D1,M1,R2,0.1820979891582197,[0.21126832],P5
90,P5_D1_G3_M1_R2_T1,MI,DI,Z1,A2,6.2,5.0,0.0006453183779762,0.005982892142331,IMP2,2.0,7,6,4,6,7,7,7,6,6,6,4,1,6,6,7.0,7.0,4.5,6.0,5.25,D1,M1,R2,0.1820979891582197,[0.21126832],P5
