,Name,Assigned_t,Rater,FLOW,t_var,t_LZ_guitar_zd,t_LZ_drum,t_var_drum,t_var_guitar_zd,t_LZ,IMPRO,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Pair
42,P10_D5_G5_M5_R1_T1,0.5,G5,6.0,55.42134346477251,0.2405559800531788,0.09622239202127152,22.03916872983358,53.457679372921824,0.1547925436863933,,G,P10,D5,M5,R1,D5_M5,P10_G5
43,P10_D5_G5_M5_R1_T1,0.6,G5,3.0,54.258275906321664,0.08367164523588824,0.0407899270524955,19.64744253841009,53.37617501647611,0.0313768669634581,3.0,G,P10,D5,M5,R1,D5_M5,P10_G5
44,P10_D5_G5_M5_R1_T1,0.6,P10,5.0,54.258275906321664,0.08367164523588824,0.0407899270524955,19.64744253841009,53.37617501647611,0.0313768669634581,5.0,P,P10,D5,M5,R1,D5_M5,P10_G5
45,P10_D5_G5_M5_R1_T1,0.8,G5,3.25,56.59102344139499,0.11086492993755193,0.08576343636678546,24.178487118638692,52.243870684323895,0.09831418315216871,3.0,G,P10,D5,M5,R1,D5_M5,P10_G5
46,P10_D5_G5_M5_R1_T1,0.9,G5,5.5,52.96204901656607,0.0177802246126262,0.02928507583256085,20.582548172595832,50.69637484649897,0.026147389136215053,5.5,G,P10,D5,M5,R1,D5_M5,P10_G5
47,P10_D5_G5_M5_R1_T1,0.9,P10,5.0,52.96204901656607,0.0177802246126262,0.02928507583256085,20.582548172595832,50.69637484649897,0.026147389136215053,5.0,P,P10,D5,M5,R1,D5_M5,P10_G5
48,P10_D5_G5_M5_R1_T1,1.0,G5,4.5,57.3052748858264,0.3757902766656832,0.22918754999395483,24.758112203442153,53.841452396738894,0.3157977070315513,7.0,G,P10,D5,M5,R1,D5_M5,P10_G5
49,P10_D5_G5_M5_R1_T1,1.0,P10,5.0,57.3052748858264,0.3757902766656832,0.22918754999395483,24.758112203442153,53.841452396738894,0.3157977070315513,5.0,P,P10,D5,M5,R1,D5_M5,P10_G5
50,P10_D5_G5_M5_R2_T1,0.1,P10,4.0,51.08261144631579,0.017152687273357038,0.00543865694033272,5.846942474659407,49.634979264054856,0.00543865694033272,1.0,P,P10,D5,M5,R2,D5_M5,P10_G5
51,P10_D5_G5_M5_R2_T1,0.4,P10,5.666666666666667,56.71038003718,0.3388701632053475,0.32056699080999695,24.201109888944764,53.27461021816399,0.46437763105918,4.0,P,P10,D5,M5,R2,D5_M5,P10_G5
52,P10_D5_G5_M5_R2_T1,0.5,P10,4.0,52.006481768672316,0.08628638414950977,0.10825019102393045,13.640888066163988,51.428727766261254,0.09203880975947709,7.0,P,P10,D5,M5,R2,D5_M5,P10_G5
53,P10_D5_G5_M5_R2_T1,0.9,P10,7.0,55.978058316225905,0.22748228548507127,0.19087594069437014,22.55741718775199,52.71367664922471,0.25101493570766487,4.0,P,P10,D5,M5,R2,D5_M5,P10_G5
54,P10_D5_G5_M5_R2_T1,1.0,P10,7.0,56.57786138257607,0.41647106678961016,0.2435276515804058,23.950186704805372,53.981443490036426,0.3043556095455436,7.0,P,P10,D5,M5,R2,D5_M5,P10_G5
55,P10_D5_G5_M6_R1_T1,0.2,G5,5.0,54.77234354323002,0.029285075832560865,0.1004059742830659,23.97578208331968,51.0924400364763,0.11714030333024356,,G,P10,D5,M6,R1,D5_M6,P10_G5
56,P10_D5_G5_M6_R1_T1,0.4,G5,5.333333333333333,56.926737332069514,0.3904676777674787,0.20360100340732812,24.18579764049913,53.574090458868284,0.2921534946153099,4.5,G,P10,D5,M6,R1,D5_M6,P10_G5
57,P10_D5_G5_M6_R1_T1,0.4,P10,6.5,56.926737332069514,0.3904676777674787,0.20360100340732812,24.18579764049913,53.574090458868284,0.2921534946153099,1.0,P,P10,D5,M6,R1,D5_M6,P10_G5
58,P10_D5_G5_M6_R1_T1,0.5,G5,5.5,57.05410524162401,0.31481456520002965,0.131782841246524,24.498064170975226,53.73472772680181,0.2091791130897207,6.0,G,P10,D5,M6,R1,D5_M6,P10_G5
