,Name,t_%,y_var,t_0,file,Rater,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
19,P11_D6_G6_M6_R1_T2,1.0,5,4.369756074386597,G6_P11_D6_G6_M6_R1_T2_FLOW.csv,G6,G,P11,D6,M6,R1,D6_M6,1.0
0,P6_D0_G1_M6_R1_T1,0.1,7,10.14150305722046,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,G1,G,P6,D0,M6,R1,D0_M6,0.1
1,P6_D0_G1_M6_R1_T1,0.2,7,10.14150305722046,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,G1,G,P6,D0,M6,R1,D0_M6,0.2
2,P6_D0_G1_M6_R1_T1,0.30000000000000004,7,10.14150305722046,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,G1,G,P6,D0,M6,R1,D0_M6,0.4
3,P6_D0_G1_M6_R1_T1,0.4,7,10.14150305722046,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,G1,G,P6,D0,M6,R1,D0_M6,0.4
4,P6_D0_G1_M6_R1_T1,0.5,7,10.14150305722046,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,G1,G,P6,D0,M6,R1,D0_M6,0.5
5,P6_D0_G1_M6_R1_T1,0.6,7,10.14150305722046,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,G1,G,P6,D0,M6,R1,D0_M6,0.6
6,P6_D0_G1_M6_R1_T1,0.7000000000000001,7,10.14150305722046,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,G1,G,P6,D0,M6,R1,D0_M6,0.8
7,P6_D0_G1_M6_R1_T1,0.8,7,10.14150305722046,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,G1,G,P6,D0,M6,R1,D0_M6,0.8
8,P6_D0_G1_M6_R1_T1,0.9,7,10.14150305722046,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,G1,G,P6,D0,M6,R1,D0_M6,0.9
9,P6_D0_G1_M6_R1_T1,1.0,7,10.14150305722046,G1_P6_D0_G1_M6_R1_T1_FLOW.csv,G1,G,P6,D0,M6,R1,D0_M6,1.0
0,P11_D5_G6_M6_R2_T1,0.1,6,3.79769095803833,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.1
1,P11_D5_G6_M6_R2_T1,0.1,1,9.76060008201599,P11_P11_D5_G6_M6_R2_T1_FLOW.csv,P11,P,P11,D5,M6,R2,D5_M6,0.1
