,Name,Assigned,Rater,FLOW,t_var,t_LZ_guitar_zd,t_LZ_drum,t_var_drum,t_var_guitar_zd,t_LZ,IMPRO,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Pair
251,P5_D5_G3_M6_R1_T1,0.4,P5,5.0,48.32153126144124,0.1771049824159635,0.07181816216080407,14.414466109893775,14.035871416539244,0.1206266218817389,6.0,P,P5,D5,M6,R1,D5_M6,P5_G3
252,P5_D5_G3_M6_R1_T1,0.5,G3,3.5,48.20055186923505,0.13108557753622493,0.10598408396545844,15.983329280600573,14.044846339288917,0.1094704025169538,,G,P5,D5,M6,R1,D5_M6,P5_G3
253,P5_D5_G3_M6_R1_T1,0.8,G3,3.5,50.70780105535909,0.2206839643096553,0.21545448648241228,18.24413446709339,15.071603158490747,0.30261245026979594,5.0,G,P5,D5,M6,R1,D5_M6,P5_G3
254,P5_D5_G3_M6_R1_T1,0.8,P5,7.0,50.70780105535909,0.2206839643096553,0.21545448648241228,18.24413446709339,15.071603158490747,0.30261245026979594,7.0,P,P5,D5,M6,R1,D5_M6,P5_G3
255,P5_D5_G3_M6_R1_T1,0.9,P5,7.0,48.73899359093665,0.19662836630433744,0.26217115507245,18.94894667435395,14.725341032260943,0.18547214693955238,,P,P5,D5,M6,R1,D5_M6,P5_G3
256,P5_D5_G3_M6_R1_T1,1.0,G3,5.666666666666667,51.78507504857247,0.19298710026166452,0.10201355450403322,14.560856420440265,13.723313435670363,0.2013523279416136,4.5,G,P5,D5,M6,R1,D5_M6,P5_G3
257,P5_D5_G3_M6_R1_T1,1.0,P5,7.0,51.78507504857247,0.19298710026166452,0.10201355450403322,14.560856420440265,13.723313435670363,0.2013523279416136,2.0,P,P5,D5,M6,R1,D5_M6,P5_G3
258,P5_D5_G3_M6_R2_T1,0.1,G3,4.0,46.79453609329388,0.0829743815255892,0.03207413067375717,6.645993520469374,12.396677490633634,0.03834950406644877,1.0,G,P5,D5,M6,R2,D5_M6,P5_G3
259,P5_D5_G3_M6_R2_T1,0.1,P5,2.0,46.79453609329388,0.0829743815255892,0.03207413067375717,6.645993520469374,12.396677490633634,0.03834950406644877,3.0,P,P5,D5,M6,R2,D5_M6,P5_G3
260,P5_D5_G3_M6_R2_T1,0.2,G3,5.0,44.14700018982963,0.12969105011562682,0.0041835822617944,4.618206216561983,13.25522535914601,0.0083671645235888,,G,P5,D5,M6,R2,D5_M6,P5_G3
261,P5_D5_G3_M6_R2_T1,0.2,P5,4.0,44.14700018982963,0.12969105011562682,0.0041835822617944,4.618206216561983,13.25522535914601,0.0083671645235888,,P,P5,D5,M6,R2,D5_M6,P5_G3
262,P5_D5_G3_M6_R2_T1,0.4,G3,6.0,48.85898570495496,0.37861419469239443,0.18128856467775792,12.41848988426427,13.821965172556803,0.22939976068839366,3.0,G,P5,D5,M6,R2,D5_M6,P5_G3
263,P5_D5_G3_M6_R2_T1,0.4,P5,2.0,48.85898570495496,0.37861419469239443,0.18128856467775792,12.41848988426427,13.821965172556803,0.22939976068839366,4.0,P,P5,D5,M6,R2,D5_M6,P5_G3
264,P5_D5_G3_M6_R2_T1,0.6,P5,4.0,46.1544621814748,0.015688433481729,0.0041835822617944,2.1388649147265033,11.244659465847004,0.024055598005317848,2.0,P,P5,D5,M6,R2,D5_M6,P5_G3
265,P5_D5_G3_M6_R2_T1,0.8,P5,2.0,47.87667171362353,0.0177802246126262,0.06484552505781335,18.079628472763243,11.402693579985328,0.0596160472305704,2.5,P,P5,D5,M6,R2,D5_M6,P5_G3
266,P5_D5_G3_M6_R2_T1,1.0,G3,4.666666666666667,51.53327204408822,0.23619808186380964,0.31039129853781994,19.1113540599623,13.141796072292436,0.3560305978532635,5.0,G,P5,D5,M6,R2,D5_M6,P5_G3
267,P5_D5_G3_M6_R2_T1,1.0,P5,3.0,51.53327204408822,0.23619808186380964,0.31039129853781994,19.1113540599623,13.141796072292436,0.3560305978532635,3.0,P,P5,D5,M6,R2,D5_M6,P5_G3
268,P5_D6_G3_M6_R1_T1,0.1,G3,5.0,46.782115689971256,0.011853483075084133,0.0446248774591404,13.465963342897942,10.779552415740609,0.04253308632824317,3.0,G,P5,D6,M6,R1,D6_M6,P5_G3
269,P5_D6_G3_M6_R1_T1,0.1,P5,4.0,46.782115689971256,0.011853483075084133,0.0446248774591404,13.465963342897942,10.779552415740609,0.04253308632824317,,P,P5,D6,M6,R1,D6_M6,P5_G3
270,P5_D6_G3_M6_R1_T1,0.2,G3,6.0,45.42870910752472,0.0278905484119627,0.03346865809435531,8.155258312671968,12.320205392477591,0.0216151750192711,1.0,G,P5,D6,M6,R1,D6_M6,P5_G3
271,P5_D6_G3_M6_R1_T1,0.2,P5,6.0,45.42870910752472,0.0278905484119627,0.03346865809435531,8.155258312671968,12.320205392477591,0.0216151750192711,2.0,P,P5,D6,M6,R1,D6_M6,P5_G3
272,P5_D6_G3_M6_R1_T1,0.4,G3,5.0,47.945158274642374,0.1422417969010101,0.0721667940159536,17.07049485665841,14.281352546781061,0.11714030333024354,3.5,G,P5,D6,M6,R1,D6_M6,P5_G3
273,P5_D6_G3_M6_R1_T1,0.5,G3,3.0,49.35618070163813,0.1429390606113091,0.09482786460067333,17.15435818642082,14.423465530308599,0.13666368721861746,2.0,G,P5,D6,M6,R1,D6_M6,P5_G3
274,P5_D6_G3_M6_R1_T1,0.6,G3,5.0,47.96444426804168,0.22661070584719742,0.08924975491828076,17.22815742214686,14.697869946792174,0.14991169771429982,4.5,G,P5,D6,M6,R1,D6_M6,P5_G3
275,P5_D6_G3_M6_R1_T1,0.8,G3,3.0,50.586045160929814,0.22172985987510394,0.2621711550724499,18.485442495707428,15.43626256896629,0.3067960325315903,3.5,G,P5,D6,M6,R1,D6_M6,P5_G3
276,P5_D6_G3_M6_R1_T1,0.8,P5,5.666666666666667,50.586045160929814,0.22172985987510394,0.2621711550724499,18.485442495707428,15.43626256896629,0.3067960325315903,1.5,P,P5,D6,M6,R1,D6_M6,P5_G3
277,P5_D6_G3_M6_R1_T1,0.9,G3,3.5,48.76879442311971,0.20987637680001972,0.0780935355534957,14.473369567846335,15.115467618420086,0.17222413644387002,3.6666666666666665,G,P5,D6,M6,R1,D6_M6,P5_G3
278,P5_D6_G3_M6_R1_T1,1.0,G3,3.5,51.56500084435648,0.23278647013841774,0.1335197749534297,19.2684723141158,14.83470339556841,0.19275855271217757,3.6666666666666665,G,P5,D6,M6,R1,D6_M6,P5_G3
279,P5_D6_G3_M6_R1_T1,1.0,P5,6.0,51.56500084435648,0.23278647013841774,0.1335197749534297,19.2684723141158,14.83470339556841,0.19275855271217757,1.0,P,P5,D6,M6,R1,D6_M6,P5_G3
280,P5_D6_G3_M6_R2_T1,0.1,G3,5.0,46.857557327572245,0.09064428233887896,0.030679603253159004,2.990937024775995,7.880984888010445,0.04253308632824317,,G,P5,D6,M6,R2,D6_M6,P5_G3
281,P5_D6_G3_M6_R2_T1,0.1,P5,1.0,46.857557327572245,0.09064428233887896,0.030679603253159004,2.990937024775995,7.880984888010445,0.04253308632824317,,P,P5,D6,M6,R2,D6_M6,P5_G3
282,P5_D6_G3_M6_R2_T1,0.2,P5,2.0,45.03411758437795,0.10772724324120611,0.0083671645235888,11.116307692965187,12.358324442504276,0.02928507583256086,2.0,P,P5,D6,M6,R2,D6_M6,P5_G3
