,Name,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_Av,CTW_Av,LZ_Av,Assigned_Cat,Rounds,Dance_mode,Music_mode,Palo,Participant
90,P5_D1_G3_M1_R2_T1,MI,DI,Z1,A2,6.2,4.0,0.0006453183779762,0.005982892142331,IMP1,2.0,D1,M1,R2,P5
91,P5_D1_G3_M1_R2_T1,MI,DI,Z1,A3,6.3,4.118554259084466,0.0006453183779761999,0.005982892142331,IMP1,2.0,D1,M1,R2,P5
92,P5_D1_G3_M1_R2_T1,MI,DI,Z1,A3,6.4,4.958449272207826,0.0006453183779761999,0.005982892142331,IMP1,2.0,D1,M1,R2,P5
93,P5_D1_G3_M1_R2_T1,MI,DI,Z1,A2,6.5,3.827371703528334,0.020489518081152135,0.020260248391075538,IMP1,2.0,D1,M1,R2,P5
94,P5_D1_G3_M1_R2_T1,MI,DI,Z3,A1,6.6,2.122085594062244,0.19370355748685267,0.16315845446481944,IMP0,2.0,D1,M1,R2,P5
95,P5_D1_G3_M1_R2_T1,MI,DI,Z3,A1,6.7,1.5655236931962393,0.35505001779814144,0.3010482546163848,IMP0,2.0,D1,M1,R2,P5
96,P5_D1_G3_M1_R2_T1,MI,DI,Z1,A2,6.8,1.1693051493968538,0.03403137652204822,0.028119593068955874,IMP0,2.0,D1,M1,R2,P5
97,P5_D1_G3_M1_R2_T1,MI,DI,Z1,A2,6.9,2.8356859804344174,0.0027960409249251812,0.007886539642163605,IMP0,2.0,D1,M1,R2,P5
98,P5_D1_G3_M1_R2_T1,MI,DI,Z3,A2,6.1,3.3183889349742914,0.06579322614698958,0.048237067897543985,IMP1,2.0,D1,M1,R2,P5
99,P5_D1_G3_M1_R2_T1,MI,DI,Z3,A2,6.11,3.910078601123845,0.050583215745971404,0.031954083032904396,IMP1,2.0,D1,M1,R2,P5
100,P5_D1_G3_M1_R2_T1,MI,DI,Z3,A1,6.12,1.471711481521781,0.10059253249065565,0.09301972783195643,IMP0,2.0,D1,M1,R2,P5
101,P5_D1_G3_M1_R2_T1,MI,DI,Z3,A1,6.13,1.1106092329288597,0.5233958269276743,0.4643389068242483,IMP0,2.0,D1,M1,R2,P5
102,P5_D1_G3_M1_R2_T1,MI,DI,Z3,A1,6.14,2.7783859477883537,0.45473946119461295,0.365704282199985,IMP0,2.0,D1,M1,R2,P5
103,P3_D1_G1_M1_R1_T1,MI,DI,Z2,A2,2.34,5.0,0.0014252399307958304,0.00689333225094659,IMP2,4.0,D1,M1,R1,P3
104,P3_D1_G1_M1_R1_T1,MI,DI,Z2,A2,2.35,5.64205209768652,0.0007760962079800864,0.006254841785164228,IMP2,4.0,D1,M1,R1,P3
105,P3_D1_G1_M1_R1_T1,MI,DI,Z2,A3,2.36,4.672461234767703,0.08894398761909404,0.06159659410172638,IMP1,4.0,D1,M1,R1,P3
106,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A3,2.37,4.613877898129161,0.224475189265394,0.1592265158788557,IMP1,4.0,D1,M1,R1,P3
107,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A1,2.38,3.3015314144057117,0.18753306209985113,0.15527029607478182,IMP1,4.0,D1,M1,R1,P3
108,P3_D1_G1_M1_R1_T1,MC,DI,Z2,A2,2.13,2.884387951575742,0.1426584842877007,0.09800547128389894,IMP0,4.0,D1,M1,R1,P3
109,P3_D1_G1_M1_R1_T1,MI,DC,Z3,A1,2.5,3.9541701304928045,0.29836540363248115,0.2651916942088234,IMP1,4.0,D1,M1,R1,P3
110,P3_D1_G1_M1_R1_T1,MI,DC,Z3,A1,2.6,3.325721431043412,0.424940987370865,0.41108766799016716,IMP1,4.0,D1,M1,R1,P3
111,P3_D1_G1_M1_R1_T1,MI,DC,Z3,A1,2.7,3.435541189133679,0.2948341043807662,0.27596090006501933,IMP1,4.0,D1,M1,R1,P3
112,P3_D1_G1_M1_R1_T1,MI,DC,Z3,A2,2.8,3.9498094019198615,0.04063056783094179,0.04046324422576516,IMP1,4.0,D1,M1,R1,P3
113,P3_D1_G1_M1_R1_T1,MI,DC,Z3,A1,2.9,4.288183388081306,0.2431816737526325,0.22624778969815024,IMP1,4.0,D1,M1,R1,P3
114,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A1,2.39,5.482329174750973,0.3882314166179125,0.3339023614672373,IMP2,4.0,D1,M1,R1,P3
115,P3_D1_G1_M1_R1_T1,MI,DI,Z2,A3,2.4,5.820520823741781,0.004137646115230614,0.00954413746514709,IMP2,4.0,D1,M1,R1,P3
116,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A3,2.41,4.81972685096882,0.027175181878153064,0.025726436212023446,IMP1,4.0,D1,M1,R1,P3
117,P3_D1_G1_M1_R1_T1,MI,DI,Z2,A3,2.42,5.66288565866865,0.001555207167057315,0.007329042874355485,IMP2,4.0,D1,M1,R1,P3
118,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A2,2.43,4.687774068479539,0.09017887231087496,0.06893923445822357,IMP1,4.0,D1,M1,R1,P3
119,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A2,2.44,1.477842102032302,0.13892747453219922,0.10470061249079327,IMP0,4.0,D1,M1,R1,P3
120,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A2,2.45,1.9494687888525186,0.0057508033235067904,0.010470061249079277,IMP0,4.0,D1,M1,R1,P3
121,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A1,2.46,3.2196096939352716,0.3096643207770267,0.2853839551891907,IMP1,4.0,D1,M1,R1,P3
122,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A1,2.47,4.0,0.4532735532586129,0.4166657027694834,IMP1,4.0,D1,M1,R1,P3
123,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A1,2.48,4.370577257136387,0.5094437777186062,0.49857434519425353,IMP1,4.0,D1,M1,R1,P3
124,P3_D1_G1_M1_R1_T1,MI,DI,Z3,A1,2.5,5.537414641721813,0.5025666615833763,0.41381670651123054,IMP2,4.0,D1,M1,R1,P3
125,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A3,4.1,1.0,0.015156487132126233,0.01781861355433372,IMP0,4.0,D6,M6,R1,P4
126,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A3,4.2,1.0,0.041894483172549915,0.03758817019855804,IMP0,4.0,D6,M6,R1,P4
127,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A3,4.3,1.0,0.16567252405296704,0.1284962062387008,IMP0,4.0,D6,M6,R1,P4
128,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A3,4.4,1.0,0.024764624229542384,0.026923014640489656,IMP0,4.0,D6,M6,R1,P4
129,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A3,4.5,1.0,0.029841671614254512,0.032336107531170125,IMP0,4.0,D6,M6,R1,P4
130,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A3,4.6,1.0,0.026434578812538103,0.023931568569324123,IMP0,4.0,D6,M6,R1,P4
131,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A3,4.7.1,1.0,0.1783307868586638,0.1417945437732457,IMP0,2.0,D6,M6,R1,P4
132,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A3,4.7,1.0,0.0984107856307042,0.07451420213630479,IMP0,2.0,D6,M6,R1,P4
133,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A3,4.8,1.0,0.0509833207936081,0.04275275010040721,IMP0,4.0,D6,M6,R1,P4
134,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A3,4.9.1,1.0,0.17208540107578024,0.143589411415945,IMP0,2.0,D6,M6,R1,P4
135,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A3,4.9.2,1.0,0.0006453183779762,0.005982892142331,IMP0,2.0,D6,M6,R1,P4
136,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A2,4.10,1.0,0.036749203748460815,0.03632470229272415,IMP0,4.0,D6,M6,R1,P4
137,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A2,4.11.1,1.0,0.09591357341126373,0.08162374279894491,IMP0,2.0,D6,M6,R1,P4
138,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A2,4.11.2,1.0,0.10933698661378147,0.08760663494127595,IMP0,2.0,D6,M6,R1,P4
139,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A2,4.12,1.0,0.2024247410442295,0.1570509187361899,IMP0,4.0,D6,M6,R1,P4
140,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A1,4.13,1.0,0.4187321389524668,0.3407755649402724,IMP0,4.0,D6,M6,R1,P4
141,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A1,4.14,1.0,0.08144158999592867,0.07363559559792049,IMP0,4.0,D6,M6,R1,P4
142,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A2,4.15,1.0,0.10634022530859333,0.07453686460654087,IMP0,4.0,D6,M6,R1,P4
143,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A1,4.16,1.0,0.31811101489723803,0.24502662819273954,IMP0,4.0,D6,M6,R1,P4
144,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A1,4.17,1.0,0.3769893412282735,0.30363177622330045,IMP0,4.0,D6,M6,R1,P4
145,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A1,4.18.1,1.0,0.21616781398511553,0.17948676426993132,IMP0,2.0,D6,M6,R1,P4
146,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A1,4.18.2,1.0,0.11261433369575222,0.07067291343128543,IMP0,2.0,D6,M6,R1,P4
147,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A1,4.19,1.0,0.2361722234074427,0.1779910412343485,IMP0,4.0,D6,M6,R1,P4
148,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A1,4.20,1.0,0.16824054818430575,0.14850392996143122,IMP0,4.0,D6,M6,R1,P4
149,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A1,4.21,1.0,0.16459364072125088,0.1528130368020387,IMP0,4.0,D6,M6,R1,P4
150,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A3,4.22,1.0289687857164036,0.051354498859471305,0.04487169106748278,IMP0,4.0,D6,M6,R1,P4
151,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A3,4.23,1.8666740677362177,0.1053002155986538,0.08618213681214952,IMP0,4.0,D6,M6,R1,P4
152,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A3,4.24,2.0,0.20809636436085038,0.1932474161972927,IMP0,2.0,D6,M6,R1,P4
153,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A1,4.25,2.0,0.2390881354148374,0.19633332898649497,IMP0,4.0,D6,M6,R1,P4
154,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A1,4.26,2.0,0.49064800587425206,0.4596855462691018,IMP0,4.0,D6,M6,R1,P4
155,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A1,4.27,2.0,0.502618701265638,0.5023136527832105,IMP0,4.0,D6,M6,R1,P4
156,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A1,4.28,2.0,0.36702854928313045,0.3355858592562048,IMP0,4.0,D6,M6,R1,P4
157,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A2,4.29,2.0,0.16899978493380236,0.1415327922420187,IMP0,6.0,D6,M6,R1,P4
158,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A1,4.30,2.0,0.33030275803030784,0.2662387003337314,IMP0,4.0,D6,M6,R1,P4
159,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A1,4.31,2.0,0.2815581785105619,0.20885732569592005,IMP0,4.0,D6,M6,R1,P4
160,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A1,4.32,2.0,0.16363777276410132,0.1321222014764772,IMP0,4.0,D6,M6,R1,P4
161,P4_D6_G2_M6_R1_T1,MC,DC,Z1,A1,4.33,2.0,0.2402786262937063,0.22820460028605552,IMP0,4.0,D6,M6,R1,P4
162,P4_D6_G2_M6_R1_T1,MC,DC,Z2,A1,4.34,2.0,0.5528787357326738,0.43131213353350156,IMP0,4.0,D6,M6,R1,P4
163,P4_D6_G2_M6_R1_T1,MC,DC,Z3,A3,4.35,2.0,0.2348240692054837,0.18965768091189403,IMP0,4.0,D6,M6,R1,P4
