,Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ,CTW,LZ_avg,var_entropy_avg,MIR_entropy_avg,MIR_novelty_avg,Condition,Pair,Condition_order
50,P4_D1_G2_M1_R1_T1,P4,7,6,7,6,7,1,6,7,6,6,1,3,7,6,,,6.0,4.333333333333333,5.166666666666666,D1,M1,R1,0.32014982844113,0.3418450242223667,0.14744512733911688,49.98440364797062,0.70996009552586,0.3238346349138759,D1_M1,P4_D1,4.0
51,P4_D6_G2_M6_R2_T1,P4,1,1,1,7,1,1,7,7,7,7,7,1,1,1,,,2.5,6.0,4.25,D6,M6,R2,0.4370801854579944,0.4645654255940994,0.1923937647466675,51.690392114574045,0.737026855768031,0.377249151786724,D6_M6,P4_D6,0.0
52,P4_D5_G2_M6_R2_T1,P4,4,1,7,1,7,4,2,4,2,2,1,4,1,1,,,5.5,2.0,3.75,D5,M6,R2,0.4262810651410869,0.4539881399210038,0.1937712857353071,51.75205643763715,0.7356373766492894,0.3605146523975055,D5_M6,P4_D5,1.0
53,P4_D1_G2_M6_R2_T1,P4,7,1,7,1,4,7,1,2,1,2,1,2,1,1,,,3.75,2.1666666666666665,2.958333333333333,D1,M6,R2,0.411223354351007,0.4397736701734814,0.18738556828409395,51.59503693011612,0.7320381234513109,0.34870668969547475,D1_M6,P4_D1,2.0
54,P4_D5_G2_M5_R2_T1,P4,6,4,6,5,6,4,4,5,5,4,2,2,4,3,,,4.75,4.0,4.375,D5,M5,R2,0.3712085429709296,0.399452513394571,0.1742819147108502,51.41245548776992,0.7280169098068305,0.4286500465365959,D5_M5,P4_D5,3.0
55,P4_D1_G2_M1_R2_T1,P4,7,4,5,5,4,4,4,4,4,4,3,3,3,3,,,4.0,4.0,4.0,D1,M1,R2,0.3906612319828594,0.4165173794170056,0.1795908791222472,51.04591325626791,0.7125861027782001,0.4216389135453434,D1_M1,P4_D1,4.0
56,P5_D6_G3_M6_R1_T1,P5,2,6,7,6,6,1,6,6,6,6,4,1,4,4,4.0,4.0,5.0,4.833333333333333,4.916666666666666,D6,M6,R1,0.2374930286608103,0.2969271884934561,0.1434968715795484,48.5873378823135,0.6707447097040603,0.45358752792105184,D6_M6,P5_D6,0.0
57,P5_D5_G3_M6_R1_T1,P5,5,5,4,4,5,4,4,4,4,3,4,3,4,3,5.0,5.0,4.0,3.8333333333333335,3.916666666666667,D5,M6,R1,0.2342913784797924,0.294639462822948,0.14021973214114275,48.44043484142439,0.6810810935692218,0.5557445067506972,D5_M6,P5_D5,1.0
58,P5_D1_G3_M6_R1_T1,P5,6,6,6,6,7,6,7,7,6,6,6,1,6,7,7.0,7.0,5.25,6.166666666666667,5.708333333333334,D1,M6,R1,0.1665973263178774,0.2113587407939539,0.1109159492334275,45.58695576712522,0.6693242315104184,0.7152079926747196,D1_M6,P5_D1,2.0
59,P5_D5_G3_M5_R1_T1,P5,6,6,6,6,7,7,6,7,6,6,6,1,6,6,7.0,7.0,5.25,6.166666666666667,5.708333333333334,D5,M5,R1,0.2522199628629754,0.3264685704012815,0.15244973761978842,50.66267686915724,0.7027728815036836,0.376089045131503,D5_M5,P5_D5,3.0
