Label: FSR adapter 16: FSR.A 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.B 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.C 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.D 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Start Trigger Method: Trigno Wireless System (start trigger)
Stop Trigger Method: Trigno Wireless System (stop trigger)
Use Camera: NO
Video File Path: 
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
X [s],FSR adapter 16: FSR.A 16 [%],FSR adapter 16: FSR.B 16 [%],FSR adapter 16: FSR.C 16 [%],FSR adapter 16: FSR.D 16 [%]
2.661429e-001,6.376401e-001,3.587655e+000,1.488262e+001,-9.999795e-003
2.680714e-001,6.345413e-001,3.586106e+000,1.488262e+001,-1.154917e-002
2.700000e-001,6.360907e-001,3.587655e+000,1.488262e+001,-1.154917e-002
2.719286e-001,6.345413e-001,3.587655e+000,1.488262e+001,-1.154917e-002
2.738571e-001,6.360907e-001,3.589205e+000,1.488572e+001,-9.999795e-003
2.757857e-001,6.360907e-001,3.587655e+000,1.488572e+001,-1.154917e-002
2.777143e-001,6.376401e-001,3.589205e+000,1.488572e+001,-9.999795e-003
2.796429e-001,6.360907e-001,3.590754e+000,1.488727e+001,-1.154917e-002
2.815714e-001,6.360907e-001,3.587655e+000,1.488572e+001,-1.309855e-002
2.835000e-001,6.376401e-001,3.590754e+000,1.488417e+001,-1.154917e-002
2.854286e-001,6.360907e-001,3.589205e+000,1.488572e+001,-9.999795e-003
2.873571e-001,6.376401e-001,3.589205e+000,1.488572e+001,-1.154917e-002
2.892857e-001,6.376401e-001,3.590754e+000,1.488262e+001,-1.154917e-002
2.912143e-001,6.391894e-001,3.590754e+000,1.488262e+001,-9.999795e-003
2.931429e-001,6.391894e-001,3.592303e+000,1.488417e+001,-1.154917e-002
2.950714e-001,6.407388e-001,3.593853e+000,1.488417e+001,-1.154917e-002
2.970000e-001,6.407388e-001,3.593853e+000,1.488727e+001,-1.154917e-002
2.989286e-001,6.391894e-001,3.593853e+000,1.488727e+001,-1.154917e-002
3.008571e-001,6.407388e-001,3.595402e+000,1.488727e+001,-9.999795e-003
3.027857e-001,6.407388e-001,3.595402e+000,1.488882e+001,-1.154917e-002
3.047143e-001,6.407388e-001,3.595402e+000,1.488882e+001,-1.154917e-002
3.066429e-001,6.391894e-001,3.595402e+000,1.489037e+001,-1.154917e-002
3.085714e-001,6.391894e-001,3.596951e+000,1.488727e+001,-1.154917e-002
3.105000e-001,6.391894e-001,3.596951e+000,1.489191e+001,-1.309855e-002
3.124286e-001,6.391894e-001,3.595402e+000,1.489191e+001,-1.154917e-002
3.143571e-001,6.438376e-001,3.595402e+000,1.489191e+001,-1.154917e-002
3.162857e-001,6.407388e-001,3.596951e+000,1.489191e+001,-1.154917e-002
3.182143e-001,6.422882e-001,3.595402e+000,1.489191e+001,-1.154917e-002
3.201429e-001,6.422882e-001,3.593853e+000,1.489346e+001,-1.154917e-002
3.220714e-001,6.407388e-001,3.595402e+000,1.489191e+001,-1.154917e-002
3.240000e-001,6.407388e-001,3.593853e+000,1.489191e+001,-9.999795e-003
3.259286e-001,6.422882e-001,3.593853e+000,1.488882e+001,-9.999795e-003
3.278571e-001,6.422882e-001,3.593853e+000,1.489037e+001,-1.154917e-002
3.297857e-001,6.422882e-001,3.595402e+000,1.489037e+001,-1.154917e-002
3.317143e-001,6.391894e-001,3.595402e+000,1.488882e+001,-9.999795e-003
3.336429e-001,6.422882e-001,3.593853e+000,1.488882e+001,-1.154917e-002
3.355714e-001,6.407388e-001,3.596951e+000,1.488572e+001,-1.154917e-002
3.375000e-001,6.422882e-001,3.593853e+000,1.488572e+001,-1.154917e-002
3.394286e-001,6.407388e-001,3.596951e+000,1.488572e+001,-1.154917e-002
3.413571e-001,6.407388e-001,3.595402e+000,1.488417e+001,-1.154917e-002
3.432857e-001,6.422882e-001,3.595402e+000,1.488417e+001,-9.999795e-003
3.452143e-001,6.407388e-001,3.596951e+000,1.488572e+001,-9.999795e-003
3.471429e-001,6.422882e-001,3.596951e+000,1.488727e+001,-9.999795e-003
3.490714e-001,6.422882e-001,3.596951e+000,1.488882e+001,-1.154917e-002
3.510000e-001,6.422882e-001,3.598501e+000,1.489191e+001,-9.999795e-003
3.529286e-001,6.407388e-001,3.600050e+000,1.489037e+001,-1.154917e-002
3.548571e-001,6.407388e-001,3.598501e+000,1.489346e+001,-1.154917e-002
