Name,Participant,GDSI,GMSI,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b,Abs_Av,Perf_Av,SFS,Artist,Dance_mode,Music_mode,Palo,Condition,Pair
P7_D5_G1_M6_R2_T1,G1,3.2,6.444444444,2,2,1,6,3,1,6,7,7.0,7,7,1,6,6,7.0,7.0,,,,,,3.0,5.666666666666667,4.333333333333334,G,D5,M6,R2,D5_M6,P7_G1
P7_D1_G1_M6_R2_T1,G1,3.2,6.444444444,3,3,2,4,4,2,6,7,7.0,6,7,1,6,6,7.0,7.0,,,,,,3.5,5.333333333333333,4.416666666666666,G,D1,M6,R2,D1_M6,P7_G1
P7_D5_G1_M5_R2_T1,G1,3.2,6.444444444,4,4,1,7,3,1,6,7,7.0,7,7,1,6,6,7.0,7.0,,,,,,3.0,5.833333333333333,4.416666666666666,G,D5,M5,R2,D5_M5,P7_G1
P7_D1_G1_M1_R2_T1,G1,3.2,6.444444444,7,6,1,6,1,6,5,7,7.0,7,7,1,7,7,7.0,7.0,,,,,,2.5,6.333333333333333,4.416666666666666,G,D1,M1,R2,D1_M1,P7_G1
P7_D6_G1_M6_R1_T1,P7,5.4,3.5,3,4,6,4,1,4,3,6,4.0,3,5,2,5,5,6.0,5.0,,,,,,3.75,3.8333333333333335,3.791666666666667,P,D6,M6,R1,D6_M6,P7_G1
P7_D5_G1_M6_R1_T1,P7,5.4,3.5,6,5,2,4,1,2,5,5,4.0,4,3,1,5,6,6.0,6.0,,,,,,2.25,3.6666666666666665,2.958333333333333,P,D5,M6,R1,D5_M6,P7_G1
P7_D1_G1_M6_R1_T1,P7,5.4,3.5,7,5,4,6,1,1,4,6,7.0,4,6,1,6,7,6.0,6.0,,,,,,3.0,4.666666666666667,3.8333333333333335,P,D1,M6,R1,D1_M6,P7_G1
P7_D5_G1_M5_R1_T1,P7,5.4,3.5,6,6,1,4,1,1,4,5,5.0,1,2,1,6,6,6.0,6.0,,,,,,2.0,2.8333333333333335,2.416666666666667,P,D5,M5,R1,D5_M5,P7_G1
P7_D1_G1_M1_R1_T1,P7,5.4,3.5,7,7,1,6,1,1,6,6,6.0,1,4,1,6,6,7.0,7.0,,,,,,2.25,4.0,3.125,P,D1,M1,R1,D1_M1,P7_G1
P7_D6_G1_M6_R2_T1,P7,5.4,3.5,3,4,3,5,4,1,7,7,7.0,4,5,1,5,6,7.0,7.0,,,,,,3.75,4.833333333333333,4.291666666666666,P,D6,M6,R2,D6_M6,P7_G1
P7_D5_G1_M6_R2_T1,P7,5.4,3.5,6,6,1,6,1,1,1,7,7.0,7,7,1,7,7,6.0,6.0,,,,,,2.5,4.833333333333333,3.6666666666666665,P,D5,M6,R2,D5_M6,P7_G1
P7_D1_G1_M6_R2_T1,P7,5.4,3.5,7,7,2,7,1,1,7,7,7.0,7,7,1,7,7,7.0,7.0,,,,,,2.75,6.0,4.375,P,D1,M6,R2,D1_M6,P7_G1
P7_D5_G1_M5_R2_T1,P7,5.4,3.5,7,7,1,7,1,1,7,7,7.0,7,6,1,6,6,7.0,7.0,,,,,,2.5,5.833333333333333,4.166666666666666,P,D5,M5,R2,D5_M5,P7_G1
P7_D1_G1_M1_R2_T1,P7,5.4,3.5,7,7,1,7,1,6,7,7,7.0,7,7,1,7,7,7.0,7.0,,,,,,2.5,6.833333333333333,4.666666666666666,P,D1,M1,R2,D1_M1,P7_G1
P8_D6_G4_M6_R1_T1,P8,5.45,4.944444444,3,3,3,5,3,5,4,3,4.0,6,5,1,4,3,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.5,4.833333333333333,3.6666666666666665,P,D6,M6,R1,D6_M6,P8_G4
P8_D5_G4_M6_R1_T1,P8,5.45,4.944444444,5,5,2,5,7,7,5,5,5.0,3,3,1,4,3,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.75,4.666666666666667,4.208333333333334,P,D5,M6,R1,D5_M6,P8_G4
P8_D1_G4_M6_R1_T1,P8,5.45,4.944444444,7,5,6,5,7,7,7,5,5.0,5,4,1,5,5,6.0,4.0,5.0,4.0,4.0,5.0,5.0,4.75,5.5,5.125,P,D1,M6,R1,D1_M6,P8_G4
P8_D5_G4_M5_R1_T1,P8,5.45,4.944444444,6,5,3,4,7,6,4,5,5.0,4,4,1,4,4,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.5,4.25,P,D5,M5,R1,D5_M5,P8_G4
P8_D1_G4_M1_R1_T1,P8,5.45,4.944444444,7,7,7,6,7,7,1,6,6.0,7,6,1,6,6,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.25,5.5,5.375,P,D1,M1,R1,D1_M1,P8_G4
P8_D6_G4_M6_R1_T2,P8,5.45,4.944444444,3,4,2,5,7,6,2,4,5.0,7,6,1,4,4,5.0,5.0,5.0,6.0,4.0,3.0,3.0,3.5,5.166666666666667,4.333333333333334,P,D6,M6,R1,D6_M6,P8_G4
P8_D6_G4_M6_R2_T1,P8,5.45,4.944444444,3,6,4,7,7,7,6,6,7.0,7,7,1,6,6,7.0,7.0,6.0,7.0,6.0,4.0,4.0,4.5,6.833333333333333,5.666666666666666,P,D6,M6,R2,D6_M6,P8_G4
P8_D5_G4_M6_R2_T1,P8,5.45,4.944444444,6,4,6,6,7,6,6,7,6.0,7,4,2,4,4,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.5,5.833333333333333,5.666666666666666,P,D5,M6,R2,D5_M6,P8_G4
P8_D1_G4_M6_R2_T1,P8,5.45,4.944444444,7,6,7,7,7,7,7,7,6.0,7,5,1,6,6,6.0,6.0,7.0,6.0,6.0,7.0,7.0,5.5,6.5,6.0,P,D1,M6,R2,D1_M6,P8_G4
