Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b
P11_D6_G6_M6_R1_T1,G6,5,5,7,4,4,2,5,5,5,4,6,6,5,5,5,5,5,5,5,4,4
P11_D5_G6_M6_R1_T1,G6,5,5,6,5,4,3,4,5,5,4,5,5,6,6,5,4,5,5,5,4,5
P11_D1_G6_M6_R1_T1,G6,4,5,6,6,2,2,4,5,5,5,5,2,5,6,6,6,5,6,4,5,5
P11_D5_G6_M5_R1_T1,G6,5,6,7,5,5,5,5,5,5,6,6,5,6,5,6,5,5,5,5,5,5
P11_D1_G6_M1_R1_T2,G6,5,6,5,4,4,5,3,4,4,4,6,3,4,5,4,4,5,4,5,5,5
P11_D6_G6_M6_R1_T2,G6,3,4,6,5,6,6,5,5,6,6,6,2,5,5,6,5,5,6,5,5,6
W_P11_D6_G6_M6_R2_T1,G6,2,4,7,3,2,4,2,6,5,3,2,2,4,4,5,4,4,5,4,4,4
P11_D0_G6_M6_R2_T1,G6,2,5,7,4,3,2,5,4,4,5,4,2,5,4,5,5,5,5,4,4,4
P11_D6_G6_M6_R2_T1,G6,3,5,7,5,3,2,5,5,5,4,5,2,5,5,5,4,5,4,4,4,4
P11_D5_G6_M6_R2_T1,G6,3,4,7,5,4,2,5,6,5,6,5,2,6,5,5,5,5,4,4,4,4
P11_D1_G6_M6_R2_T1,G6,2,5,7,6,3,2,5,5,5,5,5,2,5,5,5,5,5,5,4,4,5
P11_D5_G6_M5_R2_T1,G6,5,5,4,5,5,2,5,6,5,6,5,2,5,5,5,6,5,6,6,5,5
P11_D1_G6_M1_R2_T1,G6,7,6,6,5,5,2,6,6,5,5,6,2,6,5,5,5,5,6,5,6,6
P11_D6_G6_M6_R2_T2,G6,3,5,6,5,6,5,3,5,5,5,6,5,5,4,5,4,4,5,5,5,5
W_P11_D6_G6_M6_R1_T1,P11,7,4,7,4,7,4,1,7,4,1,1,4,1,1,1,4,4,4,5,1,4
